"","address","availability","groups","languages","billing","zipcode"
"150","Bälliz16 3600 Thun Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers","German Swiss German French","Covered by basic insurance",3600
"151","Psychologische Praxis Ruth Enz St. Karlistrasse 6 6004 Luzern Switzerland","At least four weeks","Families Children Senior management",NA,"Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6004
"152","bueropilatusstr wilfriedstrasse 4 8032 Zürich Switzerland","Less than two weeks","Senior management","German Swiss German Italian English","To be paid by yourself",8032
"153","Hirtenhofstrasse 81 6005 Luzern Switzerland Kaspar-Kopp-Strasse 123 6030 Ebikon Switzerland","Two to four weeks","Young adults Families Teenagers Children",NA,"To be paid by yourself",6005
"154","Psycho- und Traumatherapie Praxis Erpen Lukas Kantonstr. 14 A 3930 Visp Switzerland","At least four weeks","Older adults Adults Young adults Couples Families","German","Covered by basic insurance",3930
"155","Rue du Vieux-Moulin 10 1213 Onex Switzerland Rue du Cerisier 2 1914 Isérables Switzerland","Less than two weeks","Adults Young adults Families Teenagers Teams Groups Senior management","French English","Partially covered by supplementary insurance To be paid by yourself",1213
"156","Praxis für Neuropsychologie und Psychotherapie Bärengasse 8 4800 Zofingen Switzerland","At least four weeks","Older adults Adults Young adults Couples","German Italian English Spanish","Covered by basic insurance",4800
"157","Cabinet Perspective Route-Neuve 7A 1700 Fribourg Switzerland","At least four weeks","Adults Young adults","German Swiss German French English","Covered by basic insurance",1700
"158","Psychologische Praxis Jean-Jacques Faber Seefeldstrasse 35 8008 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German French English","To be paid by yourself",8008
"159","Psychoanalytische Praxis PD Dr. phil. Markus Fäh Theaterstrasse 4 8001 Zürich Switzerland","Less than two weeks","Couples Teenagers Adults Young adults Senior management","German English","Covered by basic insurance To be paid by yourself",8001
"160","Psychologische Praxis Leutschenpark Dr.phil. Edith Eymann Schärenmoosstr. 76 The Metropolitans Atelier 8052 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples","German Swiss German","Covered by basic insurance",8052
"161","Avenue de Rumine7 1005 Lausanne Switzerland","At least four weeks","Adults Young adults Teenagers","French","Covered by basic insurance",1005
"162","HUG Hôpital de Bellerive 1245 Collonge-Bellerive Switzerland","No date currently available","Older adults Adults",NA,"Partially covered by supplementary insurance",1245
"163","Thérapies 6 Boulevard des Tranchées 6 Bd des Tranchées 6 1205 1205 Genève Switzerland","Less than two weeks","Older adults Adults Teenagers","French","Covered by basic insurance",1205
"164","Bergstr. 3 8044 Zürich Switzerland","Two to four weeks","Adults","German","Partially covered by supplementary insurance To be paid by yourself",8044
"165","L'Arbre à Palabres Rue de la Dixence 10 1950 Sion Switzerland","At least four weeks","Couples Adults Young adults","French","Partially covered by supplementary insurance",1950
"166","Route de Peney 83 1214 Vernier Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Groups Senior management","French English","Covered by basic insurance To be paid by yourself",1214
"167","Cabinet de psychothérapie Pont-Neuf 2 1110 Morges Switzerland","No date currently available","Families Adults Young adults Groups","French","Covered by basic insurance",1110
"168","Psychologische Praxis Mittlere Bahnhofstrasse 10 8853 Lachen Switzerland","At least four weeks","Adults Young adults","German","Covered by basic insurance",8853
"169","Praxis für Neuropsychologie und Psychotherapie, lic. phil. Christina Feldmann Rötzmattweg 51 4600 Olten Switzerland","Two to four weeks","Adults Young adults Older adults","German Swiss German","Covered by basic insurance",4600
"170","Psychoanalytische Praxis Krebsgasse 7 8001 Zürich Switzerland","At least four weeks","Adults Couples","Italian","To be paid by yourself",8001
"171","Praxis R. Felix, Einzel-, Paar- und Sexualtherapie Merkurstrasse 2 6210 Sursee Switzerland","No date currently available","Older adults Adults Couples Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",6210
"172","InEquilibra/Ioana Fellay Avenue de la Gare 45 1920 Martigny Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Groups Senior management","French Romanian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1920
"173","Sarah Fenster chemin couleuvres 4-10 1295 Tannay Switzerland","No date currently available","Adults Couples","French English Portuguese Spanish","To be paid by yourself",1295
"174","Studio TEFAM Corso Enrico Pestalozzi 4a 6900 Lugano Switzerland","Two to four weeks","Young adults Adults Children Teenagers Families Couples Older adults","German French Italian English","Covered by basic insurance",6900
"175","SPS LUGANO Via Luganetto 5 6962 Viganello Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Teams Groups Senior management","French Italian English","Covered by basic insurance",6962
"176","Praxis im Kirchenfeld 1. Stock Jubiläumsstrasse 41 3005 Bern Switzerland","At least four weeks","Adults","German","Covered by basic insurance",3005
"177","Christian Fichter Jungholzstrasse 43 8050 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults Teams Groups Senior management",NA,"To be paid by yourself",8050
"178","Cabinet de Psychothérapie Chemin de la Planche à Troupet 8 1616 Attalens Switzerland","At least four weeks","Adults","French","Covered by basic insurance",1616
"179","Quartier de la Violette 1a 1018 Lausanne Switzerland","Two to four weeks","Adults Young adults Teenagers","French","Covered by basic insurance",1018
"180","Dr. phil. Peter Fischer Gladbachstrasse 33 8006 Zürich Switzerland","At least four weeks","Adults Young adults","German English","Covered by basic insurance To be paid by yourself",8006
"181","Psychotherapeutische Praxis Reichsgasse 69 7000 Chur Switzerland","At least four weeks","Children Teenagers Young adults Adults Families Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",7000
"182","Praxis für Psychotherapie Praxis für Psychotherapie S.Fleischmann Fabrikstrasse 9 3012 Bern Switzerland","Two to four weeks","Adults Young adults Families Teenagers Teams","German Swiss German","Partially covered by supplementary insurance To be paid by yourself",3012
"183","Rosa Font Praxisgemeinschaft Stolzestrasse Stolzestrasse 3 8006 Zürich Switzerland","At least four weeks","Older adults Couples Adults Senior management Teams","German Spanish","To be paid by yourself",8006
"184","Praxisgemeinschaft Sonnhalde Sonnhaldenstrasse 2 8032 Zürich Switzerland","At least four weeks","Young adults Teenagers Children","Swiss German Hungarian","Covered by basic insurance",8032
"185","Cabinet de psychologie 38 rue de Chêne-Bougeries 1224 Chêne-Bougeries Switzerland","At least four weeks","Older adults Teenagers Adults Children Young adults","French Portuguese","Covered by basic insurance",1224
"186","Praxis für Psychotherapie Lange Gasse 1 4052 Basel Switzerland","No date currently available","Adults","German Italian","Covered by basic insurance To be paid by yourself",4052
"187","Christian Follack Rue St-Denis 12 1630 Bulle Switzerland","At least four weeks","Adults","German French English","Covered by basic insurance",1630
"188","Praxis Tamara Forster Gewerbestrasse 11 8162 Steinmaur Switzerland","No date currently available","Young adults Families Children",NA,"Covered by basic insurance",8162
"189","Cabinet de psychothérapie Place Pury 7 2000 Neuchâtel Switzerland Cabinet de psychothérapie Rue de Comblémine, 1 2112 Môtiers Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Children Teams Groups Senior management","French","Covered by basic insurance To be paid by yourself",2000
"190","TrioPsys Rue de Bourg 33 1003 Lausanne Switzerland","At least four weeks","Couples Families Teenagers Adults Groups Young adults Older adults Children","French Italian","Covered by basic insurance To be paid by yourself",1003
"191","Rue du Mont 8 1920 Martigny Switzerland","At least four weeks","Couples Families Teenagers Adults Children Young adults Older adults Senior management","French Italian Spanish","Covered by basic insurance",1920
"192","Praxis Frauchiger Falkenweg 8 3012 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Teams Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",3012
"193","Cabinet de Psychologie Christine Frédérick-Libon Chemin de Mornex 3 1003 Lausanne Switzerland","Two to four weeks","Adults Young adults Families Teenagers Children Groups","French","Covered by basic insurance",1003
"194","Praxis für Psychotherapie Anita Frei Bielstrasse 31 2544 Bettlach Switzerland","At least four weeks","Adults","German Swiss German","Covered by basic insurance",2544
"195","Thierry FRELECHOZ Route de Saint Julien, 263 1258 Perly Switzerland","At least four weeks","Adults Couples Families","French","Covered by basic insurance",1258
"196","Psychologische Praxis Prof. Dr. Jürg Frick Rietlirain 44 8713 Uerikon Switzerland","Two to four weeks","Older adults Adults Young adults","German Swiss German","To be paid by yourself",8713
"197","Elisabeth Frick Tanner Iddastrasse 51 9008 St. Gallen Switzerland","At least four weeks","Older adults Teenagers Adults Children Teams","German","Covered by basic insurance",9008
"198","20 ch. des Mollies 1293 BELLEVUE Switzerland chemin des Mollies 1293 Bellevue Switzerland","Less than two weeks","Adults","French Spanish","Covered by basic insurance",1293
"199","Praxis für Psychotherapie Bruchstrasse 6 6003 Luzern Switzerland","No date currently available","Adults Couples","German","Covered by basic insurance",6003
"200","Praxis im Industrietürmli Sonnenbergstrasse 10 8610 Uster Switzerland","Two to four weeks","Older adults Adults Young adults Couples Senior management","German English","Partially covered by supplementary insurance To be paid by yourself",8610
"201","Jasmina Froidevaux Bieri 1,rue du Cloitre 1204 Genève Switzerland","Less than two weeks","Older adults Couples Families Teenagers Teams Adults Senior management","French English Serbian","Covered by basic insurance",1204
"202","Recht & Psychologie Zentrum für Psychologische Beratung Steinentorstrasse 13 4051 Basel Switzerland","Less than two weeks","Adults","German French","To be paid by yourself",4051
"203","Jens Hugo Frost Hagenholzstrasse 108B 8050 Zürich Switzerland","At least four weeks","Families Couples Young adults Adults Teenagers Older adults","German","Covered by basic insurance",8050
"204","Thomas Füeg Türmlihausstr. 1 4500 Solothurn Switzerland","No date currently available","Adults Young adults","German","Partially covered by supplementary insurance Covered by basic insurance",4500
"205","Praxis Kairou Hofernring 7 8134 Adliswil Switzerland","Two to four weeks","Older adults Adults Young adults Couples Children Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8134
